round_number,switch_group,switch_type,r,matching,penalty,practice,payoff_multiplier
1,TRUE,TRUE,2,DA,FALSE,TRUE,3
2,TRUE,TRUE,2,DA,FALSE,TRUE,3
3,TRUE,TRUE,2,DA,FALSE,TRUE,3
4,TRUE,TRUE,2,DA,FALSE,TRUE,3
5,TRUE,TRUE,2,DA,FALSE,FALSE,3
6,TRUE,TRUE,2,DA,FALSE,FALSE,3
7,TRUE,TRUE,2,DA,FALSE,FALSE,3
8,TRUE,TRUE,2,DA,FALSE,FALSE,3
9,TRUE,TRUE,2,DA,FALSE,FALSE,3
10,TRUE,TRUE,2,DA,FALSE,FALSE,3
11,TRUE,TRUE,2,DA,FALSE,FALSE,3
12,TRUE,TRUE,2,DA,FALSE,FALSE,3
13,TRUE,TRUE,2,DA,FALSE,FALSE,3
14,TRUE,TRUE,2,DA,FALSE,FALSE,3
15,TRUE,TRUE,2,DA,FALSE,FALSE,3
16,TRUE,TRUE,2,DA,FALSE,FALSE,3
17,TRUE,TRUE,2,DA,FALSE,FALSE,3
18,TRUE,TRUE,2,DA,FALSE,FALSE,3
19,TRUE,TRUE,2,DA,FALSE,FALSE,3
20,TRUE,TRUE,2,DA,FALSE,FALSE,3
